job_title,job_description,location,city,state,zip_code,apply_url,company_name,companydescription,uniq_id,crawl_timestamp,job_board,job_id,department,requirements,benefits,telecommuting,has_company_logo,has_questions,function,job_type,Full Time,I.T,fraudulent
4298,1,2535,0,0,0,0,0,0,0,0,0,4052,80,1042,2600,0,0,0,1,0,0,0,1
1458,18,1249,0,0,0,0,0,0,0,0,0,17607,1054,9893,4080,0,0,0,18,0,0,0,1
2942,0,600,0,0,0,0,0,0,0,0,0,17709,1054,11527,3986,0,0,0,0,0,0,0,1
7243,31,1646,0,0,0,0,0,0,0,0,0,7752,1054,7960,5103,0,0,0,31,0,0,0,1
567,18,2330,0,0,0,0,0,0,0,0,0,2969,1054,2438,4080,0,0,0,18,0,0,0,1
1259,1,2094,0,0,0,0,0,0,0,0,0,17750,1054,9893,4080,0,0,0,1,0,0,0,1
5908,20,1436,0,0,0,0,0,0,0,0,0,8432,849,6834,4080,0,1,1,20,0,0,0,1
597,18,1633,0,0,0,0,0,0,0,0,0,17539,1054,2584,1099,0,0,1,18,0,0,0,1
14493,12,1249,0,0,0,0,0,0,0,0,0,17676,434,10564,5399,0,1,1,12,0,0,0,1
8946,18,3005,0,0,0,0,0,0,0,0,0,6374,1054,11648,4080,0,1,1,18,0,0,0,1
597,18,1635,0,0,0,0,0,0,0,0,0,6668,1054,2584,1099,0,0,1,18,0,0,0,1
4899,18,1172,0,0,0,0,0,0,0,0,0,3274,652,8307,4080,0,0,1,18,0,0,0,1
5169,18,1487,0,0,0,0,0,0,0,0,0,17777,1054,5823,4080,0,0,0,18,0,0,0,1
11937,18,2734,0,0,0,0,0,0,0,0,0,17633,1054,2597,4080,0,1,0,18,0,0,0,1
5051,23,1412,0,0,0,0,0,0,0,0,0,740,570,3090,5485,0,1,1,23,0,0,0,1
1305,12,2875,0,0,0,0,0,0,0,0,0,2044,1054,6603,5250,0,1,0,12,0,0,0,1
3120,12,2875,0,0,0,0,0,0,0,0,0,2075,1054,6584,4080,0,1,0,12,0,0,0,1
7832,13,1852,0,0,0,0,0,0,0,0,0,4145,67,7458,4080,0,1,0,13,0,0,0,1
573,18,1686,0,0,0,0,0,0,0,0,0,17707,1054,2440,4080,0,0,0,18,0,0,0,1
3492,7,2826,0,0,0,0,0,0,0,0,0,4183,213,2629,1640,0,1,1,7,0,0,0,1
7812,18,38,0,0,0,0,0,0,0,0,0,17731,1054,5822,4665,0,0,0,18,0,0,0,1
3377,8,1697,0,0,0,0,0,0,0,0,0,15199,1054,2429,973,0,0,0,8,0,0,0,1
1280,18,2305,0,0,0,0,0,0,0,0,0,17682,1054,7628,5902,1,0,0,18,0,0,0,1
12502,18,2091,0,0,0,0,0,0,0,0,0,9749,1054,11555,677,0,0,0,18,0,0,0,1
11337,12,2203,0,0,0,0,0,0,0,0,0,17655,293,6004,1134,0,1,1,12,0,0,0,1
12998,7,1396,0,0,0,0,0,0,0,0,0,17575,316,9893,4080,0,0,0,7,0,0,0,1
4904,18,83,0,0,0,0,0,0,0,0,0,4772,652,8543,4080,0,0,1,18,0,0,0,1
12038,18,428,0,0,0,0,0,0,0,0,0,17699,1054,7826,4516,0,0,1,18,0,0,0,1
3375,1,2001,0,0,0,0,0,0,0,0,0,17754,1054,423,1004,0,0,0,1,0,0,0,1
9685,23,1248,0,0,0,0,0,0,0,0,0,173,921,4651,6020,0,1,1,23,0,0,0,1
5362,18,1956,0,0,0,0,0,0,0,0,0,357,1307,11502,6008,0,0,0,18,0,0,0,1
13095,1,2875,0,0,0,0,0,0,0,0,0,7658,1054,4444,4080,1,0,0,1,0,0,0,1
3093,12,2875,0,0,0,0,0,0,0,0,0,2077,1054,6607,4080,0,1,0,12,0,0,0,1
14678,23,1412,0,0,0,0,0,0,0,0,0,11757,1054,7949,1633,0,1,1,23,0,0,0,1
2942,0,600,0,0,0,0,0,0,0,0,0,17709,1054,11527,3986,0,0,0,0,0,0,0,1
5979,7,1251,0,0,0,0,0,0,0,0,0,17609,212,4234,1930,0,0,1,7,0,0,0,1
5437,1,2114,0,0,0,0,0,0,0,0,0,17580,1054,4167,4736,0,0,0,1,0,0,0,1
8402,12,1579,0,0,0,0,0,0,0,0,0,5472,434,6187,3327,0,1,1,12,0,0,0,1
11637,18,38,0,0,0,0,0,0,0,0,0,15149,1054,5822,4665,0,0,0,18,0,0,0,1
4166,13,2826,0,0,0,0,0,0,0,0,0,6690,559,5852,443,0,1,1,13,0,0,0,1
1480,18,1248,0,0,0,0,0,0,0,0,0,7411,1054,9893,4080,0,0,0,18,0,0,0,1
13375,18,1954,0,0,0,0,0,0,0,0,0,4589,1054,10356,4080,1,1,0,18,0,0,0,1
14013,18,2875,0,0,0,0,0,0,0,0,0,8252,1054,5333,4080,0,0,0,18,0,0,0,1
651,23,1958,0,0,0,0,0,0,0,0,0,6574,1054,4628,2465,0,0,1,23,0,0,0,1
7808,18,1487,0,0,0,0,0,0,0,0,0,17518,1054,9893,4080,0,0,0,18,0,0,0,1
8787,18,625,0,0,0,0,0,0,0,0,0,9098,1054,73,4080,0,1,0,18,0,0,0,1
4297,1,1800,0,0,0,0,0,0,0,0,0,17529,1054,9893,4080,0,0,0,1,0,0,0,1
42,18,1972,0,0,0,0,0,0,0,0,0,17749,80,11609,70,0,1,1,18,0,0,0,1
2618,18,38,0,0,0,0,0,0,0,0,0,17569,1054,10738,4198,0,0,0,18,0,0,0,1
2460,7,1750,0,0,0,0,0,0,0,0,0,4266,1300,4335,5351,1,1,0,7,0,0,0,1
3466,26,274,0,0,0,0,0,0,0,0,0,17780,1054,2890,1953,0,0,0,26,0,0,0,1
13371,31,2687,0,0,0,0,0,0,0,0,0,5362,1054,9893,4080,0,1,1,31,0,0,0,1
12502,18,2106,0,0,0,0,0,0,0,0,0,17631,1054,11555,677,0,0,0,18,0,0,0,1
